time_str,U10_mps,V10_mps,target_lat,target_lon,closest_lat,closest_lon,distance_km
2017-02-06_06:30:02,2.2401485443115234,-1.69709312915802,-27.5,-48.3,-27.503459930419922,-48.30393981933594,0.5466294288635254
2017-02-06_07:00:00,1.617533564567566,-2.105921506881714,-27.5,-48.3,-27.503459930419922,-48.30393981933594,0.5466294288635254
2017-02-06_07:30:02,1.0932507514953613,-1.89859139919281,-27.5,-48.3,-27.503459930419922,-48.30393981933594,0.5466294288635254
2017-02-06_08:00:00,0.5694137215614319,-1.809833288192749,-27.5,-48.3,-27.503459930419922,-48.30393981933594,0.5466294288635254
2017-02-06_08:30:02,0.17031651735305786,-2.301849126815796,-27.5,-48.3,-27.503459930419922,-48.30393981933594,0.5466294288635254
2017-02-06_09:00:00,-0.2205146849155426,-2.236481189727783,-27.5,-48.3,-27.503459930419922,-48.30393981933594,0.5466294288635254
2017-02-06_09:30:02,-0.14173035323619843,-1.880712866783142,-27.5,-48.3,-27.503459930419922,-48.30393981933594,0.5466294288635254
2017-02-06_10:00:00,0.2915365993976593,-0.6571931838989258,-27.5,-48.3,-27.503459930419922,-48.30393981933594,0.5466294288635254
2017-02-06_10:30:02,0.5497556924819946,1.05321204662323,-27.5,-48.3,-27.503459930419922,-48.30393981933594,0.5466294288635254
2017-02-06_11:00:00,0.7100250720977783,4.189802646636963,-27.5,-48.3,-27.503459930419922,-48.30393981933594,0.5466294288635254
2017-02-06_11:30:02,0.2141091376543045,5.520195007324219,-27.5,-48.3,-27.503459930419922,-48.30393981933594,0.5466294288635254
2017-02-06_12:00:00,0.34254372119903564,6.927534103393555,-27.5,-48.3,-27.503459930419922,-48.30393981933594,0.5466294288635254
2017-02-06_12:30:02,0.3753741979598999,7.237739086151123,-27.5,-48.3,-27.503459930419922,-48.30393981933594,0.5466294288635254
2017-02-06_13:00:00,0.220839723944664,7.712239742279053,-27.5,-48.3,-27.503459930419922,-48.30393981933594,0.5466294288635254
2017-02-06_13:30:02,-0.7277762293815613,7.018324375152588,-27.5,-48.3,-27.503459930419922,-48.30393981933594,0.5466294288635254
2017-02-06_14:00:00,-1.6918938159942627,9.220880508422852,-27.5,-48.3,-27.503459930419922,-48.30393981933594,0.5466294288635254
2017-02-06_14:30:02,-2.312772035598755,8.678013801574707,-27.5,-48.3,-27.503459930419922,-48.30393981933594,0.5466294288635254
2017-02-06_15:00:00,-2.693732976913452,7.654820919036865,-27.5,-48.3,-27.503459930419922,-48.30393981933594,0.5466294288635254
2017-02-06_15:30:02,-3.291836738586426,7.506073951721191,-27.5,-48.3,-27.503459930419922,-48.30393981933594,0.5466294288635254
2017-02-06_16:00:00,-3.5240020751953125,6.848108768463135,-27.5,-48.3,-27.503459930419922,-48.30393981933594,0.5466294288635254
2017-02-06_16:30:02,-3.5686333179473877,6.868306636810303,-27.5,-48.3,-27.503459930419922,-48.30393981933594,0.5466294288635254
2017-02-06_17:00:00,-4.113334655761719,6.20011043548584,-27.5,-48.3,-27.503459930419922,-48.30393981933594,0.5466294288635254
2017-02-06_17:30:02,-3.6524291038513184,6.256897926330566,-27.5,-48.3,-27.503459930419922,-48.30393981933594,0.5466294288635254
2017-02-06_18:00:00,-4.214020729064941,5.868624210357666,-27.5,-48.3,-27.503459930419922,-48.30393981933594,0.5466294288635254
2017-02-06_18:30:02,-3.283352851867676,6.402218818664551,-27.5,-48.3,-27.503459930419922,-48.30393981933594,0.5466294288635254
2017-02-06_19:00:00,-4.008306503295898,5.282144546508789,-27.5,-48.3,-27.503459930419922,-48.30393981933594,0.5466294288635254
2017-02-06_19:30:02,-3.337632894515991,5.113551139831543,-27.5,-48.3,-27.503459930419922,-48.30393981933594,0.5466294288635254
2017-02-06_20:00:00,-4.116299152374268,5.22982931137085,-27.5,-48.3,-27.503459930419922,-48.30393981933594,0.5466294288635254
2017-02-06_20:30:02,-3.2613508701324463,6.535271167755127,-27.5,-48.3,-27.503459930419922,-48.30393981933594,0.5466294288635254
2017-02-06_21:00:00,-2.56201171875,6.322793960571289,-27.5,-48.3,-27.503459930419922,-48.30393981933594,0.5466294288635254
2017-02-06_21:30:02,-2.2476696968078613,6.79542350769043,-27.5,-48.3,-27.503459930419922,-48.30393981933594,0.5466294288635254
2017-02-06_22:00:00,-1.8494288921356201,7.320622444152832,-27.5,-48.3,-27.503459930419922,-48.30393981933594,0.5466294288635254
2017-02-06_22:30:02,-0.7722603678703308,8.639281272888184,-27.5,-48.3,-27.503459930419922,-48.30393981933594,0.5466294288635254
2017-02-06_23:00:00,-1.6515811681747437,8.493023872375488,-27.5,-48.3,-27.503459930419922,-48.30393981933594,0.5466294288635254
2017-02-06_23:30:02,-2.317845344543457,7.03232479095459,-27.5,-48.3,-27.503459930419922,-48.30393981933594,0.5466294288635254
